study,number
51.04.03 - Социально-культурная деятельность,6
51.04.03 - Социально-культурная деятельность,8
51.04.06 - Библиотечно-информационная деятельность,4
52.04.01 - Хореографическое искусство,19
54.04.01 - Дизайн,6
54.04.01 - Дизайн,5
41.04.04 - Политология,2
41.04.04 - Политология,9
41.04.05 - Международные отношения,17
46.04.01 - История,24
46.04.01 - История,26
47.04.01 - Философия,12
47.04.01 - Философия,1
51.04.01 - Культурология,9
03.04.02 - Физика,1
03.04.02 - Физика,15
09.04.03 - Прикладная информатика,29
09.04.03 - Прикладная информатика,10
38.04.02 - Менеджмент,37
38.04.02 - Менеджмент,3
38.04.03 - Управление персоналом,2
38.04.03 - Управление персоналом,30
38.04.04 - Государственное и муниципальное управление,8
38.04.04 - Государственное и муниципальное управление,51
38.04.06 - Торговое дело,10
43.04.01 - Сервис,5
43.04.01 - Сервис,33
43.04.02 - Туризм,8
43.04.02 - Туризм,11
44.04.03 - Специальное (дефектологическое) образование,90
32.04.01 - Общественное здравоохранение,15
32.04.01 - Общественное здравоохранение,15
39.04.02 - Социальная работа,5
39.04.02 - Социальная работа,23
45.04.01 - Филология,24
45.04.01 - Филология,44
42.04.02 - Журналистика,10
42.04.02 - Журналистика,31
42.04.01 - Реклама и связи с общественностью,12
42.04.01 - Реклама и связи с общественностью,7
45.04.02 - Лингвистика,23
45.04.02 - Лингвистика,56
38.04.05 - Бизнес-информатика,2
38.04.05 - Бизнес-информатика,14
38.04.09 - Государственный аудит,1
49.04.02 - Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),30
49.04.03 - Спорт,29
49.04.03 - Спорт,19
05.04.02 - География,22
05.04.06 - Экология и природопользование,1
05.04.06 - Экология и природопользование,22
04.04.01 - Химия,17
06.04.01 - Биология,20
53.04.01 - Музыкально-инструментальное искусство,13
49.04.01 - Физическая культура,36
Разговорный иностранный язык,20
Иностранный язык в сфере профессиональной коммуникации,1
39.04.01 - Социология,4
39.04.01 - Социология,25
52.03.01 - Хореографическое искусство,4
52.03.01 - Хореографическое искусство,48
21.03.02 - Землеустройство и кадастры,60
